run_type,br,N,hot,mode,correctness,throughput,width,latency,total_updates,num_no_ops,num_mutations,extractor_llm_time_sec,reasoner_llm_time_sec,total_time_sec,mutation_ratio,noop_ratio,llm_time_sec,non_llm_time_sec,llm_fraction,extractor_fraction,reasoner_fraction
real,8,500,0.95,sequential,1.0,0.7656732453754891,1.0,0.8336909224949777,500,147,353,603.2314161937684,416.84546124748886,653.0200748424977,0.706,0.294,1020.0768774412572,-367.05680259875953,1.5620911465658849,0.92375631229907,0.6383348342668149
real,4,500,0.1,dag,1.0,0.7162443254858286,19.23076923076923,0.06118047347664833,500,35,465,689.8167025707662,30.590236738324165,698.0858098398894,0.93,0.07,720.4069393090904,-22.32112946920097,1.0319747646414994,0.9881545976833138,0.04382016695818561
real,4,500,0.1,batch,0.9514824797843666,0.7208709953918864,126.0,0.021340956147760153,500,22,478,690.4520126637071,10.670478073880076,693.605379043147,0.956,0.044,701.1224907375872,-7.517111694440246,1.0108377355792864,0.9954536592784358,0.015384076300850459
real,4,500,0.1,sequential,1.0,0.6105016710334153,1.0,0.7757993240840733,500,35,465,712.7015821430832,387.89966204203665,818.9985772743821,0.93,0.07,1100.6012441851199,-281.60266691073775,1.3438377974329434,0.8702110136930225,0.4736267837399209
real,4,100,0.5,dag,1.0,0.7373129963991624,5.882352941176471,0.13815808357670903,100,5,95,131.92028270848095,13.815808357670903,135.62761064618826,0.95,0.05,145.73609106615186,-10.108480419963598,1.0745311398748563,0.972665389296147,0.10186575057870924
real,4,100,0.5,batch,0.9090909090909091,0.750284849564226,26.0,0.04013883663341403,100,3,97,132.1146038491279,4.013883663341403,133.2827126365155,0.97,0.03,136.1284875124693,-2.8457748759537935,1.0213514177469865,0.9912358567418024,0.030115561005184092
real,4,100,0.5,sequential,1.0,0.6616852607477569,1.0,0.7005750420503318,100,4,96,134.6380902696401,70.05750420503318,151.1292542424053,0.96,0.04,204.69559447467327,-53.566340232267976,1.354440578038913,0.8908803986664684,0.4635601793724446
real,4,500,0.5,dag,1.0,0.7449810093655878,6.944444444444445,0.1496946796029806,500,62,438,649.375345248729,74.8473398014903,671.1580479424447,0.876,0.124,724.2226850502193,-53.064637107774615,1.079064293828337,0.9675446003210504,0.11151969350728676
real,4,500,0.5,batch,0.8825503355704698,0.7653018560078297,126.0,0.025542789705097674,500,57,443,649.3699907194823,12.771394852548838,653.3369755670428,0.886,0.114,662.1413855720311,-8.804410004988313,1.0134760626357429,0.9939281182668139,0.019547944368928937
real,4,500,0.5,sequential,1.0,0.6575772773080207,1.0,0.7833571499809623,500,61,439,656.2177993711084,391.67857499048114,760.3669063001871,0.878,0.122,1047.8963743615896,-287.52946806140244,1.378145689507281,0.863027827663029,0.515117861844252
real,4,100,0.95,dag,1.0,0.813070556029561,3.7037037037037037,0.22545173497870563,100,25,75,119.10293355584145,22.545173497870564,122.99055630341172,0.75,0.25,141.648107053712,-18.657550750300288,1.151699051626964,0.9683908841099986,0.18330816751696544
real,4,100,0.95,batch,0.8695652173913043,0.8327186646186059,26.0,0.04415674138814211,100,24,76,118.89755938202143,4.415674138814211,120.08857762999833,0.76,0.24,123.31323352083564,-3.2246558908373117,1.0268523114727257,0.9900821687500828,0.036770142722642826
real,4,100,0.95,sequential,1.0,0.7255770089400145,1.0,0.7086703241989016,100,25,75,120.8772520441562,70.86703241989017,137.82134600169957,0.75,0.25,191.74428446404636,-53.92293846234679,1.3912524440276606,0.877057549870871,0.5141948941567894
real,4,100,0.1,dag,1.0,0.6870638302046371,10.0,0.08901974236592651,100,2,98,142.88826646097004,8.90197423659265,145.54688458889723,0.98,0.02,151.7902406975627,-6.243356108665466,1.0428958416135121,0.9817335964597487,0.06116224515376347
